cost_center,division,department,is_active, effective_start_date, effective_end_Date
Cost of Sales,Sales,Customer Solutions,FALSE,2017-10-09,2020-01-31
Cost of Sales,Engineering,Customer Support,TRUE,2018-08-13,
Cost of Sales,Sales,Consulting Delivery,TRUE,2020-02-01,
Cost of Sales,Sales,Education Delivery,TRUE,2020-02-01,
G&A,G&A,People Ops,FALSE,2016-08-01,2019-09-17
G&A,G&A,Accounting,TRUE,2019-07-23,
G&A,G&A,Business Operations,TRUE,2018-08-10,
G&A,G&A,CEO,TRUE,2018-09-06,
G&A,G&A,Finance,TRUE,2015-09-21,
G&A,G&A,Legal,TRUE,2019-08-01,
G&A,G&A,People,TRUE,2019-09-18,
G&A,G&A,Recruiting,TRUE,2018-08-10,
Marketing,Marketing,Developer Relations,FALSE,2018-08-13,2020-05-25
Marketing,Marketing,Marketing & Sales Development,FALSE,2017-02-06,2018-05-08
Marketing,Marketing,Outreach,FALSE,2018-05-09,2018-11-04
Marketing,Marketing,Growth Marketing,FALSE,2018-05-09,2018-11-06
Marketing,Marketing,Inbound Demand Generation,FALSE,2018-05-09,2018-11-26
Marketing,Marketing,Outbound Demand Generation,FALSE,2018-05-09,2018-11-26
Marketing,Marketing,Sales Management,FALSE,2018-06-05,2018-11-26
Marketing,Marketing,Pipe-to-Spend,FALSE,2018-11-07,2019-01-14
Marketing,G&A,Corporate Marketing,FALSE,2018-11-13,2019-02-18
Marketing,Sales,Alliances,FALSE,2019-02-12,2019-02-19
Marketing,Marketing,Brand & Digital Design,TRUE,2019-11-16,
Marketing,Marketing,Community Relations,TRUE,2018-09-13,
Marketing,Marketing,Corporate Marketing,TRUE,2017-06-14,
Marketing,Marketing,Demand Generation,TRUE,2018-11-27,
Marketing,Marketing,Digital Marketing,TRUE,2019-01-15,
Marketing,Marketing,Field Marketing,TRUE,2018-05-09,
Marketing,Marketing,Marketing Ops,TRUE,2019-01-14,
Marketing,Marketing,Product Marketing,TRUE,2017-10-02,
R&D,Engineering,Product,FALSE,2016-04-19,2018-09-05
R&D,G&A,Strategic Partnerships,FALSE,2018-05-22,2018-09-05
R&D,Engineering,PM Dev,FALSE,2018-09-06,2018-11-26
R&D,Engineering,PM Ops,FALSE,2018-09-06,2018-11-26
R&D,Product,PM Dev,FALSE,2018-11-27,2019-01-14
R&D,Product,PM Ops,FALSE,2018-11-27,2019-01-14
R&D,Engineering,Development,TRUE,2017-08-28,
R&D,Engineering,Infrastructure,TRUE,2017-11-02,
R&D,Engineering,Quality,TRUE,2018-11-27,
R&D,Engineering,Security,TRUE,2018-11-27,
R&D,Engineering,UX,TRUE,2018-11-27,
R&D,Meltano,Meltano,FALSE,2018-09-06,2020-05-08
R&D,Product,Product Management,TRUE,2019-01-15,
R&D,Product,Product Strategy,TRUE,2019-11-01,
Sales,Sales,New Business Dev,FALSE,2015-08-01,2018-09-05
Sales,Sales,Strategic Partnerships,FALSE,2018-08-06,2018-09-05
Sales,Sales,Account Management,FALSE,2016-07-06,2018-11-26
Sales,Sales,Field Sales,FALSE,2018-07-02,2018-11-26
Sales,Sales,Indirect Channel,FALSE,2016-02-03,2018-11-26
Sales,Sales,Sales Management,FALSE,2016-08-15,2018-11-26
Sales,Sales,SMB,FALSE,2018-08-10,2018-11-26
Sales,Sales,Business Development,TRUE,2018-09-06,
Sales,Sales,Channel,TRUE,2018-11-27,
Sales,Sales,Commercial Sales,TRUE,2018-11-27,
Sales,Sales,Customer Success,TRUE,2016-08-25,
Sales,Sales,Enterprise Sales,TRUE,2018-11-27,
Sales,Sales,Field Operations,TRUE,2018-11-27,
Sales,Sales,Practice Management,TRUE,2020-02-01,
G&A,G&A,People Success,TRUE,2020-05-01,
